FID,u,v,key,osmid,highway,oneway,length,name,lanes,bridge,ref,tunnel,junction,maxspeed,id,source,target,FID_1,id_1,avg_0,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_11,avg_12,avg_13,avg_14,avg_15,avg_16,avg_17,avg_18,avg_19,avg_20,avg_21,avg_22,avg_23,fill_ratio,highway_1,drop
3281,7500512946.000000000000000,5483889371.000000000000000,0.000000000000000,570406131,tertiary,True,90.147999999999996, , , , , , , ,6789.000000000000000,7500512946.000000000000000,5483889371.000000000000000,6789,6789.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15.024666666700000,0.000000000000000,0.000000000000000,30.049333333300002,0.000000000000000,0.000000000000000,30.049333333300002,0.000000000000000,30.049333333300002,15.024666666700000,0.000000000000000,15.024666666700000,0.000000000000000,0.000000000000000,7.512333333330000,0.000000000000000,0.000000000000000,0.000000000000000,15.024666666700000,0.000000000000000,0.333333333333000,tertiary,1
3282,7500512946.000000000000000,7500512947.000000000000000,0.000000000000000,801887706,secondary_link,True,75.843999999999994, , , , , , , ,6790.000000000000000,7500512946.000000000000000,7500512947.000000000000000,6790,6790.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,12.640666666700000,0.000000000000000,7.373722222220000,0.000000000000000,9.630984126980000,12.640666666700000,0.000000000000000,0.000000000000000,10.533888888900000,8.427111111109999,12.640666666700000,12.640666666700000,8.427111111109999,0.000000000000000,0.000000000000000,0.000000000000000,18.960999999999999,0.416666666667000,secondary_link,1
3283,7500512947.000000000000000,4359391017.000000000000000,0.000000000000000,53108976,secondary,True,165.317000000000007,熊猫大道, , , , , , ,6791.000000000000000,7500512947.000000000000000,4359391017.000000000000000,6791,6791.000000000000000,11.021133333300000,7.535817663820000,0.000000000000000,0.000000000000000,0.000000000000000,12.398775000000001,0.000000000000000,4.406766760470000,5.827977324390000,8.868266380130001,4.945674895700000,5.686931254880000,6.560929419160000,4.845910323290000,7.644109131130000,3.605647018970000,5.998425172290000,6.868182119780000,9.546861153489999,5.677458828640000,6.953333212120000,5.743151527300000,10.043452150500000,11.863025463000000,0.833333333333000,secondary,1
3284,7500512948.000000000000000,5483889372.000000000000000,0.000000000000000,570406131,tertiary,True,37.901000000000003, , , , , , , ,6793.000000000000000,7500512948.000000000000000,5483889372.000000000000000,6793,6793.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6.316833333330000,6.316833333330000,0.000000000000000,12.633666666700000,0.000000000000000,12.633666666700000,4.273151960780000,0.000000000000000,6.316833333330000,3.368977777780000,0.000000000000000,10.528055555600000,0.000000000000000,1.403740740740000,12.633666666700000,0.000000000000000,5.414428571430000,0.000000000000000,6.316833333330000,0.000000000000000,0.500000000000000,tertiary,1
3285,7541534109.000000000000000,1159945476.000000000000000,0.000000000000000,100324329,tertiary,False,5.614000000000000,文庙后街, , , , , , ,6799.000000000000000,7541534109.000000000000000,1159945476.000000000000000,6799,6799.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,tertiary,0
3286,7541534109.000000000000000,1312615976.000000000000000,0.000000000000000,100324329,tertiary,False,348.485000000000014,文庙后街, , , , , , ,6800.000000000000000,7541534109.000000000000000,1312615976.000000000000000,6800,6800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18.341315789500001,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.041666666666700,tertiary,1
3287,7541534109.000000000000000,4550018781.000000000000000,0.000000000000000,459085966,secondary,True,167.621000000000009,文翁路,2, , , , , ,6801.000000000000000,7541534109.000000000000000,4550018781.000000000000000,6801,6801.000000000000000,18.624555555600001,6.208185185190000,13.303253968300000,0.000000000000000,9.312277777780000,13.121845959600000,0.000000000000000,16.364958741799999,15.972835974600001,7.877726319790000,6.730819265770000,8.798774293930000,7.657734262770000,6.113080827240000,7.675267630470000,7.441766425900000,10.107212414399999,16.762100000000000,12.804381944399999,10.724077648700000,7.619722106490000,11.921012358200000,10.157385841700000,17.926134722200000,0.916666666667000,secondary,1
3288,7613581907.000000000000000,1072698608.000000000000000,0.000000000000000,"[572761600, 137128155, 137128160]",primary,True,508.589999999999918,中环路洞子口路段, ,yes, , , , ,6826.000000000000000,7613581907.000000000000000,1072698608.000000000000000,6826,6826.000000000000000,14.958031292199999,14.826465472000001,12.926058760700000,11.599421052600000,14.458524146000000,15.155187001200000,11.119895802700000,12.453175058599999,10.782400074400000,10.888270645500000,10.386795212999999,10.205671309600000,11.380362822500000,10.754155436700000,10.553683754800000,10.643846524300001,10.501503704899999,9.602366107570001,10.833624113600001,11.092171504100000,10.634898002100000,12.615286927600000,14.853113628599999,11.823211423800000,1.000000000000000,primary,1
3289,7619371998.000000000000000,5484804457.000000000000000,0.000000000000000,"[570959900, 132616709, 890791676]",primary,True,263.834000000000003,二环路北四段, ,yes, , , , ,6827.000000000000000,7619371998.000000000000000,5484804457.000000000000000,6827,6827.000000000000000,14.825074610100000,15.586590780000000,15.242372040999999,13.503493650399999,15.299387472899999,16.061672668500002,14.470428604300000,11.862266722299999,11.103384993200001,12.728498544000001,13.500775759100000,13.672817187900000,13.740942871600000,13.781974921800000,14.262576216799999,12.973202954200000,14.059587408000001,6.009901997140000,12.091899072500000,14.436547838599999,12.698114412500001,14.577980129500000,14.761552287800001,15.271893384500000,1.000000000000000,primary,1
3290,7619372016.000000000000000,7699919354.000000000000000,0.000000000000000,132232868,secondary,True,259.802999999999997,驷马桥路, , , , , , ,6829.000000000000000,7619372016.000000000000000,7699919354.000000000000000,6829,6829.000000000000000,10.006418067200000,19.175935714300000,14.072662500000000,12.371571428599999,10.825125000000000,0.000000000000000,13.230708333300001,11.655624007900000,11.860463073600000,10.361343754700000,5.828371922090000,9.601633378840001,12.780833008700000,10.559573593100000,10.455696131000000,11.104091806700000,11.693226811600001,10.978896723000000,10.458789023800000,9.044993333330000,9.679731394039999,10.584818659900000,9.160249853480000,10.637833154799999,0.958333333333000,secondary,1
3291,7619372023.000000000000000,8629463728.000000000000000,0.000000000000000,132105045,trunk,True,762.725999999999999, ,3, , , , , ,6831.000000000000000,7619372023.000000000000000,8629463728.000000000000000,6831,6831.000000000000000,21.576983832700002,20.881871338400000,21.764656060600000,22.419521818200000,17.655694444400002,12.712100000000000,23.272943326600000,20.332930051799998,18.240219789899999,18.289580275300001,19.331646003600000,19.210370591099998,20.338830433300000,19.787922651799999,18.573365812399999,20.471304955699999,18.937987991899998,18.708005323500000,17.497555556300000,19.686683993500001,19.320717621299998,20.400095412999999,20.227382968200001,20.206174620700001,1.000000000000000,trunk,1
3292,7619372038.000000000000000,5482901741.000000000000000,0.000000000000000,132105044,trunk,True,96.658000000000001,三环路,3, , , , , ,6832.000000000000000,7619372038.000000000000000,5482901741.000000000000000,6832,6832.000000000000000,22.140464957300001,20.604030193200000,25.059481481500001,22.672864197500001,19.561738095199999,24.457403030300000,26.465880952399999,22.720185057500000,19.220366587299999,19.660534752299998,20.755046737200001,21.257175903699999,22.643031481500000,21.332522883599999,20.263049071099999,18.955293114500002,19.868588888900000,19.033921376799999,17.703014038999999,19.849410714299999,21.688772005800001,21.347373675200000,20.626297006200002,20.370556763300002,1.000000000000000,trunk,1
3293,7619505045.000000000000000,7619505046.000000000000000,0.000000000000000,577371824,tertiary,False,18.704999999999998,为民路, , , , , , ,6835.000000000000000,7619505045.000000000000000,7619505046.000000000000000,6835,6835.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,tertiary,0
3294,7619505045.000000000000000,1159471908.000000000000000,0.000000000000000,577371824,tertiary,False,112.704000000000008,为民路, , , , , , ,6836.000000000000000,7619505045.000000000000000,1159471908.000000000000000,6836,6836.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18.783999999999999,0.000000000000000,37.567999999999998,0.000000000000000,37.567999999999998,30.207738775500001,37.567999999999998,37.567999999999998,37.567999999999998,33.274514285700000,0.000000000000000,28.175999999999998,31.557120000000001,18.784664434300002,31.306666666700000,37.567999999999998,37.567999999999998,29.219555555600000,0.000000000000000,0.625000000000000,tertiary,1
3295,7619505046.000000000000000,4549993421.000000000000000,0.000000000000000,577371824,tertiary,False,16.501000000000001,为民路, , , , , , ,6837.000000000000000,7619505046.000000000000000,4549993421.000000000000000,6837,6837.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,tertiary,0
3296,7619505046.000000000000000,7619505045.000000000000000,0.000000000000000,577371824,tertiary,False,18.704999999999998,为民路, , , , , , ,6838.000000000000000,7619505046.000000000000000,7619505045.000000000000000,6838,6838.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,tertiary,0
3297,7619505046.000000000000000,4549993409.000000000000000,0.000000000000000,921136442,primary,True,209.327999999999975,二环路北一段, , , , , , ,6839.000000000000000,7619505046.000000000000000,4549993409.000000000000000,6839,6839.000000000000000,25.224151794899999,29.557888888899999,24.227777777800000,33.642000000000003,34.887999999999998,24.712333333299998,0.000000000000000,32.063733333300000,28.252439215700001,27.001425155700002,27.971206971699999,30.537767901199999,28.586800000000000,27.990144000000001,30.777632183900000,25.585754902000001,25.837741964799999,28.697090196100000,26.570498550700002,29.203722828299998,28.522878222199999,27.157307989000000,28.648422468600000,24.766982456099999,0.958333333333000,primary,1
3298,7622274276.000000000000000,7622274285.000000000000000,0.000000000000000,673295819,secondary,True,55.417999999999999, ,3, , , , ,40,6844.000000000000000,7622274276.000000000000000,7622274285.000000000000000,6844,6844.000000000000000,13.938978658500000,14.367629629600000,13.854500000000000,15.393888888899999,12.315111111100000,18.472666666700000,12.930866666700000,12.469049999999999,13.831409166700000,14.053920833299999,14.310114000800001,12.582478654999999,14.658954838700000,13.509303703700001,13.789683625700000,14.694528591999999,16.105856249999999,12.199073842600001,13.918641203700000,11.523425396800000,13.106796825400000,12.544245954899999,11.599044500100000,13.144012820500000,1.000000000000000,secondary,1
3299,7622274276.000000000000000,7894143868.000000000000000,0.000000000000000,816141198,secondary,True,268.838999999999999, , , , , , , ,6845.000000000000000,7622274276.000000000000000,7894143868.000000000000000,6845,6845.000000000000000,4.290219288770000,5.974200000000000,4.635155172410000,0.003142918936610,0.000000000000000,0.000000000000000,0.000000000000000,14.188725000000000,12.032068770900000,8.607440905420001,12.001282483000001,6.872800966370000,8.326315861390000,6.906812488460000,11.727761339700001,6.281621638390000,10.147667530400000,7.212455292060000,7.851969655660000,9.714588253170000,2.809519989390000,5.591591000820000,7.575393243240000,8.041166517860001,0.875000000000000,secondary,1
3300,7622274281.000000000000000,7622274285.000000000000000,0.000000000000000,816141199,secondary,True,261.240999999999985, , , , , , , ,6846.000000000000000,7622274281.000000000000000,7622274285.000000000000000,6846,6846.000000000000000,6.220023809520000,14.513388888900000,8.791764423080000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16.432469600099999,8.488393911730000,12.111928278500001,11.891698065600000,13.790046897800000,10.989689722800000,12.147894985600001,15.461202040800000,16.447249106699999,12.217046957199999,15.010540067299999,9.208619592950001,9.997086400830000,10.959712000800000,14.651611640200001,9.967986874239999,14.513388888900000,0.833333333333000,secondary,1
3301,7622274281.000000000000000,7894143866.000000000000000,0.000000000000000,"[846138154, 846138155, 846138156]",secondary,True,615.834000000000060, , ,yes, , , , ,6847.000000000000000,7622274281.000000000000000,7894143866.000000000000000,6847,6847.000000000000000,14.700310989000000,13.971542568500000,6.492513488370000,17.106500000000000,0.000000000000000,7.148242611750000,11.404333333300000,6.727284444130000,5.715043266940000,9.456668369979999,8.955206251620000,11.741586034599999,11.496398625799999,11.080752079400000,13.108765730200000,12.221690266800000,8.396403964530000,8.461217969790001,6.117128463500000,8.560172094600000,11.049212123400000,10.643438033600001,12.698922572900001,12.124867904300000,0.958333333333000,secondary,1
